"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"153","2024","Hombre","Instituto Tecnico Empresarial","Fútbol de Salón","Deportista","Yopal","Casanare"
"154","2024","Hombre","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"155","2024","Hombre","Institucion Educativa Isaac Newton","Boxeo","Deportista","Yopal","Casanare"
"156","2024","Hombre","IE Manuela Beltran","Karate Do","Deportista","Yopal","Casanare"
"157","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"158","2024","Hombre","Gimnasio Thomas Jefferson","Fútbol Sala","Deportista","Yopal","Casanare"
"159","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"160","2024","Hombre","Liceo de la Sabana","Bádminton","Deportista","Yopal","Casanare"
"161","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"162","2024","Hombre","Colegio Alianza Pedagogica","Tenis de Mesa","Deportista","Yopal","Casanare"
"163","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"164","2024","Hombre","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"165","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"166","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"167","2024","Hombre","Liceo Infantil Siglo XXI","Atletismo","Deportista","Yopal","Casanare"
"168","2024","Hombre","Gimnasio Thomas Jefferson","Fútbol Sala","Deportista","Yopal","Casanare"
"169","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"170","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"171","2024","Hombre","IE Policarpa Salavarrieta","Baloncesto 3x3","Deportista","Yopal","Casanare"
"172","2024","Hombre","Instituto Tecnico Empresarial","Judo","Deportista","Yopal","Casanare"
"173","2024","Hombre","Colegio Alianza Pedagogica","Tenis de Mesa","Deportista","Yopal","Casanare"
"174","2024","Hombre","IE Braulio Gonzalez","Fútbol Sala","Deportista","Yopal","Casanare"
"175","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"176","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol Sala","Deportista","Yopal","Casanare"
"177","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"178","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"179","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"180","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol","Deportista","Yopal","Casanare"
"181","2024","Hombre","IE El Paraiso","Fútbol de Salón","Deportista","Yopal","Casanare"
"182","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"183","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol Sala","Deportista","Yopal","Casanare"
"184","2024","Hombre","Liceo de la Sabana","Atletismo","Deportista","Yopal","Casanare"
"185","2024","Hombre","Colegio de la Presentación Yopal","Fútbol Sala","Deportista","Yopal","Casanare"
"186","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"187","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"188","2024","Hombre","IE Lucila Piragauta","Baloncesto","Deportista","Yopal","Casanare"
"189","2024","Hombre","Liceo Pedagogico San Martin","Fútbol Sala","Deportista","Yopal","Casanare"
"190","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"191","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"192","2024","Hombre","Colegio Alianza Pedagogica","Fútbol Sala","Deportista","Yopal","Casanare"
"193","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"194","2024","Hombre","IE Divino Salvador","Fútbol Sala","Deportista","Yopal","Casanare"
"195","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Fútbol Sala","Deportista","Yopal","Casanare"
"196","2024","Hombre","IE El Paraiso","Fútbol Sala","Deportista","Yopal","Casanare"
"197","2024","Mujer","IE Luis Carlos Galan SarmIEnto","Fútbol Sala","Deportista","Yopal","Casanare"
"198","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"199","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"200","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"201","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"202","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"203","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"204","2024","Hombre","IE La Campiña","Baloncesto","Deportista","Yopal","Casanare"
"205","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"206","2024","Hombre","Inst Autonomo Shakespeare Y Cervantes","Fútbol de Salón","Deportista","Yopal","Casanare"
"207","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
